Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2/4/2021,91.19,91.5,53.33,53.5,61903600,0,0
2/3/2021,112.01,113.4,85.25,92.41,42698500,0,0
2/2/2021,140.76,158,74.22,90,78183100,0,0
2/1/2021,316.56,322,212,225,36655400,0,0
1/29/2021,379.7099915,413.980011,250,325,50397132,0,0
1/28/2021,265,483,112.25,193.6000061,58815800,0,0
1/27/2021,354.8299866,380,249,347.5100098,93396700,0,0
1/26/2021,88.55999756,150,80.19999695,147.9799957,178588000,0,0
1/25/2021,96.73000336,159.1799927,61.13000107,76.79000092,177874000,0,0
1/22/2021,42.59000015,76.76000214,42.31999969,65.01000214,196784300,0,0
1/21/2021,39.22999954,44.75,37,43.02999878,57079800,0,0
1/20/2021,37.36999893,41.18999863,36.06000137,39.11999893,33471800,0,0
1/19/2021,41.54999924,45.52000046,36.63999939,39.36000061,74721900,0,0
1/15/2021,38.49000168,40.75,34.00999832,35.5,46752200,0,0
1/14/2021,38.09000015,43.06000137,33.04999924,39.90999985,93717400,0,0
1/13/2021,20.42000008,38.65000153,20.03000069,31.39999962,144501700,0,0
1/12/2021,19.95999908,20.39999962,19.31999969,19.95000076,7060700,0,0
1/11/2021,19.40999985,20.64999962,19.01000023,19.94000053,14927600,0,0
1/8/2021,18.18000031,18.29999924,17.07999992,17.69000053,6464500,0,0
1/7/2021,18.46999931,19.45000076,18.02000046,18.07999992,6129300,0,0
1/6/2021,17.34000015,18.97999954,17.32999992,18.36000061,6056200,0,0
1/5/2021,17.35000038,18.07999992,17.22999954,17.37000084,4961500,0,0
1/4/2021,19,19.10000038,17.14999962,17.25,10022500,0,0
12/31/2020,19.25,19.79999924,18.79999924,18.84000015,6918900,0,0
12/30/2020,19.37999916,20,18.85000038,19.26000023,5934400,0,0
12/29/2020,20.81999969,21.06999969,18.55999947,19.37999916,9241400,0,0
12/28/2020,21.30999947,21.96999931,20.35000038,20.98999977,8965900,0,0
12/24/2020,21.01000023,21.47999954,19.95000076,20.14999962,6262200,0,0
12/23/2020,20.17000008,22.35000038,19.12999916,20.56999969,25830300,0,0
12/22/2020,16.21999931,20.04000092,16.14999962,19.45999908,30652700,0,0
12/21/2020,15.81000042,16.35000038,15.27999973,15.52999973,9876100,0,0
12/18/2020,15.77999973,16.29999924,15.18000031,15.63000011,16618800,0,0
12/17/2020,13.96000004,14.97999954,13.59000015,14.82999992,8194900,0,0
12/16/2020,13.96000004,14.31000042,13.57999992,13.85000038,5865100,0,0
12/15/2020,12.77999973,14.02000046,12.47999954,13.85000038,8192900,0,0
12/14/2020,13.34000015,13.43000031,12.14000034,12.72000027,10007100,0,0
12/11/2020,13.90999985,14,13.02000046,13.31000042,7496900,0,0
12/10/2020,13.11999989,14.40999985,13.05000019,14.11999989,7558900,0,0
12/9/2020,13.92000008,14.72999954,13.22999954,13.65999985,24357900,0,0
12/8/2020,16.37000084,17.20999908,15.93000031,16.94000053,16120200,0,0
12/7/2020,17,17.5,16.21999931,16.35000038,7386300,0,0
12/4/2020,16.29999924,17.29000092,16.26000023,16.89999962,8972700,0,0
12/3/2020,16.47999954,16.63999939,15.86999989,16.12000084,6295000,0,0
12/2/2020,15.69999981,16.68000031,15.38000011,16.57999992,7883400,0,0
12/1/2020,17.11000061,17.39999962,15.76000023,15.80000019,12666000,0,0
11/30/2020,18.17000008,19.42000008,16.55999947,16.55999947,31983500,0,0
11/27/2020,15.28999996,16.73999977,14.88000011,16.07999992,12504200,0,0
11/25/2020,13.60000038,15.25,13.42000008,14.75,8860100,0,0
